File_ID,agreement_errors
pair_sli413_td439_rep01_SLI_bundle,14
pair_sli413_td439_rep01_TD_bundle,1
pair_sli413_td439_rep02_SLI_bundle,11
pair_sli413_td439_rep02_TD_bundle,1
pair_sli413_td439_rep03_SLI_bundle,18
pair_sli413_td439_rep03_TD_bundle,2
pair_sli413_td439_rep04_SLI_bundle,16
pair_sli413_td439_rep04_TD_bundle,0
pair_sli413_td439_rep05_SLI_bundle,17
pair_sli413_td439_rep05_TD_bundle,1
pair_sli413_td439_rep06_SLI_bundle,23
pair_sli413_td439_rep06_TD_bundle,0
pair_sli413_td439_rep07_SLI_bundle,17
pair_sli413_td439_rep07_TD_bundle,1
pair_sli413_td439_rep08_SLI_bundle,17
pair_sli413_td439_rep08_TD_bundle,0
pair_sli413_td439_rep09_SLI_bundle,15
pair_sli413_td439_rep09_TD_bundle,1
pair_sli413_td439_rep10_SLI_bundle,32
pair_sli413_td439_rep10_TD_bundle,12
pair_sli427_td406_rep01_SLI_bundle,27
pair_sli427_td406_rep01_TD_bundle,19
pair_sli427_td406_rep02_SLI_bundle,13
pair_sli427_td406_rep02_TD_bundle,2
pair_sli427_td406_rep03_SLI_bundle,17
pair_sli427_td406_rep03_TD_bundle,9
pair_sli427_td406_rep04_SLI_bundle,18
pair_sli427_td406_rep04_TD_bundle,6
pair_sli427_td406_rep05_SLI_bundle,25
pair_sli427_td406_rep05_TD_bundle,9
pair_sli427_td406_rep06_SLI_bundle,21
pair_sli427_td406_rep06_TD_bundle,3
pair_sli427_td406_rep07_SLI_bundle,20
pair_sli427_td406_rep07_TD_bundle,8
pair_sli427_td406_rep08_SLI_bundle,23
pair_sli427_td406_rep08_TD_bundle,6
pair_sli427_td406_rep09_SLI_bundle,30
pair_sli427_td406_rep09_TD_bundle,14
pair_sli427_td406_rep10_SLI_bundle,18
pair_sli427_td406_rep10_TD_bundle,17
pair_sli444_td410_rep01_SLI_bundle,13
pair_sli444_td410_rep01_TD_bundle,0
pair_sli444_td410_rep02_SLI_bundle,11
pair_sli444_td410_rep02_TD_bundle,3
pair_sli444_td410_rep03_SLI_bundle,19
pair_sli444_td410_rep03_TD_bundle,6
pair_sli444_td410_rep04_SLI_bundle,10
pair_sli444_td410_rep04_TD_bundle,7
pair_sli444_td410_rep05_SLI_bundle,2
pair_sli444_td410_rep05_TD_bundle,0
pair_sli444_td410_rep06_SLI_bundle,2
pair_sli444_td410_rep06_TD_bundle,2
pair_sli444_td410_rep07_SLI_bundle,12
pair_sli444_td410_rep07_TD_bundle,1
pair_sli444_td410_rep08_SLI_bundle,12
pair_sli444_td410_rep08_TD_bundle,10
pair_sli444_td410_rep09_SLI_bundle,9
pair_sli444_td410_rep09_TD_bundle,6
pair_sli444_td410_rep10_SLI_bundle,8
pair_sli444_td410_rep10_TD_bundle,8
pair_sli474_td459_rep01_SLI_bundle,39
pair_sli474_td459_rep01_TD_bundle,2
pair_sli474_td459_rep02_SLI_bundle,34
pair_sli474_td459_rep02_TD_bundle,0
pair_sli474_td459_rep03_SLI_bundle,25
pair_sli474_td459_rep03_TD_bundle,2
pair_sli474_td459_rep04_SLI_bundle,33
pair_sli474_td459_rep04_TD_bundle,0
pair_sli474_td459_rep05_SLI_bundle,19
pair_sli474_td459_rep05_TD_bundle,4
pair_sli474_td459_rep06_SLI_bundle,22
pair_sli474_td459_rep06_TD_bundle,0
pair_sli474_td459_rep07_SLI_bundle,14
pair_sli474_td459_rep07_TD_bundle,2
pair_sli474_td459_rep08_SLI_bundle,22
pair_sli474_td459_rep08_TD_bundle,1
pair_sli474_td459_rep09_SLI_bundle,6
pair_sli474_td459_rep09_TD_bundle,0
pair_sli474_td459_rep10_SLI_bundle,29
pair_sli474_td459_rep10_TD_bundle,1
pair_sli475_td417_rep01_SLI_bundle,9
pair_sli475_td417_rep01_TD_bundle,1
pair_sli475_td417_rep02_SLI_bundle,3
pair_sli475_td417_rep02_TD_bundle,1
pair_sli475_td417_rep03_SLI_bundle,4
pair_sli475_td417_rep03_TD_bundle,7
pair_sli475_td417_rep04_SLI_bundle,3
pair_sli475_td417_rep04_TD_bundle,0
pair_sli475_td417_rep05_SLI_bundle,7
pair_sli475_td417_rep05_TD_bundle,0
pair_sli475_td417_rep06_SLI_bundle,0
pair_sli475_td417_rep06_TD_bundle,1
pair_sli475_td417_rep07_SLI_bundle,7
pair_sli475_td417_rep07_TD_bundle,1
pair_sli475_td417_rep08_SLI_bundle,6
pair_sli475_td417_rep08_TD_bundle,1
pair_sli475_td417_rep09_SLI_bundle,2
pair_sli475_td417_rep09_TD_bundle,0
pair_sli475_td417_rep10_SLI_bundle,7
pair_sli475_td417_rep10_TD_bundle,0
pair_sli476_td460_rep01_SLI_bundle,0
pair_sli476_td460_rep01_TD_bundle,0
pair_sli476_td460_rep02_SLI_bundle,7
pair_sli476_td460_rep02_TD_bundle,0
pair_sli476_td460_rep03_SLI_bundle,3
pair_sli476_td460_rep03_TD_bundle,1
pair_sli476_td460_rep04_SLI_bundle,13
pair_sli476_td460_rep04_TD_bundle,0
pair_sli476_td460_rep05_SLI_bundle,2
pair_sli476_td460_rep05_TD_bundle,2
pair_sli476_td460_rep06_SLI_bundle,17
pair_sli476_td460_rep06_TD_bundle,3
pair_sli476_td460_rep07_SLI_bundle,2
pair_sli476_td460_rep07_TD_bundle,0
pair_sli476_td460_rep08_SLI_bundle,12
pair_sli476_td460_rep08_TD_bundle,0
pair_sli476_td460_rep09_SLI_bundle,1
pair_sli476_td460_rep09_TD_bundle,1
pair_sli476_td460_rep10_SLI_bundle,1
pair_sli476_td460_rep10_TD_bundle,0
pair_sli477_td415_rep01_SLI_bundle,17
pair_sli477_td415_rep01_TD_bundle,21
pair_sli477_td415_rep02_SLI_bundle,24
pair_sli477_td415_rep02_TD_bundle,8
pair_sli477_td415_rep03_SLI_bundle,19
pair_sli477_td415_rep03_TD_bundle,17
pair_sli477_td415_rep04_SLI_bundle,28
pair_sli477_td415_rep04_TD_bundle,25
pair_sli477_td415_rep05_SLI_bundle,24
pair_sli477_td415_rep05_TD_bundle,23
pair_sli477_td415_rep06_SLI_bundle,21
pair_sli477_td415_rep06_TD_bundle,8
pair_sli477_td415_rep07_SLI_bundle,36
pair_sli477_td415_rep07_TD_bundle,27
pair_sli477_td415_rep08_SLI_bundle,17
pair_sli477_td415_rep08_TD_bundle,17
pair_sli477_td415_rep09_SLI_bundle,25
pair_sli477_td415_rep09_TD_bundle,26
pair_sli477_td415_rep10_SLI_bundle,21
pair_sli477_td415_rep10_TD_bundle,16
pair_sli478_td419_rep01_SLI_bundle,2
pair_sli478_td419_rep01_TD_bundle,0
pair_sli478_td419_rep02_SLI_bundle,17
pair_sli478_td419_rep02_TD_bundle,13
pair_sli478_td419_rep03_SLI_bundle,5
pair_sli478_td419_rep03_TD_bundle,4
pair_sli478_td419_rep04_SLI_bundle,8
pair_sli478_td419_rep04_TD_bundle,0
pair_sli478_td419_rep05_SLI_bundle,1
pair_sli478_td419_rep05_TD_bundle,1
pair_sli478_td419_rep06_SLI_bundle,2
pair_sli478_td419_rep06_TD_bundle,1
pair_sli478_td419_rep07_SLI_bundle,8
pair_sli478_td419_rep07_TD_bundle,7
pair_sli478_td419_rep08_SLI_bundle,9
pair_sli478_td419_rep08_TD_bundle,3
pair_sli478_td419_rep09_SLI_bundle,0
pair_sli478_td419_rep09_TD_bundle,0
pair_sli478_td419_rep10_SLI_bundle,11
pair_sli478_td419_rep10_TD_bundle,1
pair_sli479_td471_rep01_SLI_bundle,9
pair_sli479_td471_rep01_TD_bundle,0
pair_sli479_td471_rep02_SLI_bundle,10
pair_sli479_td471_rep02_TD_bundle,0
pair_sli479_td471_rep03_SLI_bundle,8
pair_sli479_td471_rep03_TD_bundle,1
pair_sli479_td471_rep04_SLI_bundle,14
pair_sli479_td471_rep04_TD_bundle,8
pair_sli479_td471_rep05_SLI_bundle,3
pair_sli479_td471_rep05_TD_bundle,2
pair_sli479_td471_rep06_SLI_bundle,16
pair_sli479_td471_rep06_TD_bundle,1
pair_sli479_td471_rep07_SLI_bundle,6
pair_sli479_td471_rep07_TD_bundle,0
pair_sli479_td471_rep08_SLI_bundle,13
pair_sli479_td471_rep08_TD_bundle,0
pair_sli479_td471_rep09_SLI_bundle,0
pair_sli479_td471_rep09_TD_bundle,0
pair_sli479_td471_rep10_SLI_bundle,16
pair_sli479_td471_rep10_TD_bundle,0
pair_sli480_td450_rep01_SLI_bundle,23
pair_sli480_td450_rep01_TD_bundle,13
pair_sli480_td450_rep02_SLI_bundle,23
pair_sli480_td450_rep02_TD_bundle,10
pair_sli480_td450_rep03_SLI_bundle,23
pair_sli480_td450_rep03_TD_bundle,14
pair_sli480_td450_rep04_SLI_bundle,19
pair_sli480_td450_rep04_TD_bundle,5
pair_sli480_td450_rep05_SLI_bundle,17
pair_sli480_td450_rep05_TD_bundle,3
pair_sli480_td450_rep06_SLI_bundle,33
pair_sli480_td450_rep06_TD_bundle,16
pair_sli480_td450_rep07_SLI_bundle,29
pair_sli480_td450_rep07_TD_bundle,5
pair_sli480_td450_rep08_SLI_bundle,21
pair_sli480_td450_rep08_TD_bundle,1
pair_sli480_td450_rep09_SLI_bundle,32
pair_sli480_td450_rep09_TD_bundle,7
pair_sli480_td450_rep10_SLI_bundle,34
pair_sli480_td450_rep10_TD_bundle,6
pair_sli482_td466_rep01_SLI_bundle,14
pair_sli482_td466_rep01_TD_bundle,14
pair_sli482_td466_rep02_SLI_bundle,21
pair_sli482_td466_rep02_TD_bundle,13
pair_sli482_td466_rep03_SLI_bundle,18
pair_sli482_td466_rep03_TD_bundle,4
pair_sli482_td466_rep04_SLI_bundle,27
pair_sli482_td466_rep04_TD_bundle,13
pair_sli482_td466_rep05_SLI_bundle,24
pair_sli482_td466_rep05_TD_bundle,17
pair_sli482_td466_rep06_SLI_bundle,33
pair_sli482_td466_rep06_TD_bundle,13
pair_sli482_td466_rep07_SLI_bundle,23
pair_sli482_td466_rep07_TD_bundle,7
pair_sli482_td466_rep08_SLI_bundle,18
pair_sli482_td466_rep08_TD_bundle,8
pair_sli482_td466_rep09_SLI_bundle,27
pair_sli482_td466_rep09_TD_bundle,20
pair_sli482_td466_rep10_SLI_bundle,32
pair_sli482_td466_rep10_TD_bundle,12
